Algorithm,A,Objective,Peak_Regret,Delta_Trend,Best_Fitness
omwu,2,delta_reg,6.3858,2.7303,10.2597
omwu,2,envelope_trend,10.3108,-0.1787,25.6573
omwu,2,envelope_trend_log,9.3840,-0.4184,9.3280
omwu,3,delta_reg,9.0004,1.0193,15.2109
omwu,3,envelope_trend,19.9719,-2.9500,64.5656
omwu,3,envelope_trend_log,19.9719,-2.9500,13.6328
omwu,4,delta_reg,27.3511,14.2383,44.0676
omwu,4,envelope_trend,33.1681,-1.3640,147.9028
omwu,4,envelope_trend_log,33.1681,-1.3640,29.2367
omwu,5,delta_reg,19.3132,14.3891,48.8416
omwu,5,envelope_trend,30.4248,5.4167,172.7844
omwu,5,envelope_trend_log,23.3860,-5.3578,34.0452
omwu,6,delta_reg,30.7546,16.1261,91.6123
omwu,6,envelope_trend,60.6288,47.7496,447.1502
omwu,6,envelope_trend_log,44.2042,16.9321,78.0217
omwu,7,delta_reg,23.6966,6.8057,48.1978
omwu,7,envelope_trend,36.1137,-1.4318,270.5991
omwu,7,envelope_trend_log,36.1137,-1.4318,42.9097
omwu,8,delta_reg,30.5863,-35.8305,-10332483.4047
omwu,8,envelope_trend,66.4168,-17.6766,-10331961.2804
omwu,8,envelope_trend_log,66.4168,-17.6766,-10332459.0475
omwu,9,delta_reg,101.7226,-5.7308,-107285547.9365
omwu,2,delta_reg,6.3858,2.7303,10.2597,ab109edc
omwu,2,envelope_trend,10.3108,-0.1787,25.6573,2d4613c4
omwu,2,envelope_trend_log,9.3840,-0.4184,9.3280,b0b556fb
